4C3541F9-DDAD-893A-C274-A2D76A51DF4F	6340B7F8-71C2-16AC-CED6-A2D76A5150FD	5740426D-2D48-2E82-C627-A2D76A51C501	0DC2D044-880B-B32D-7084-A2D76A518125
cell-type	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	lysate	Sos-1	7/7: very high
Cos-7	Grb2	Sos-1	7/7: very high
Cos-7	E3b1	Sos-1	3/7: low/moderate
Cos-7	lysate	Grb2	6/7: high
Cos-7	Grb2	Grb2	7/7: very high
Cos-7	E3b1	Grb2	0/7: none
Cos-7	lysate	E3b1	6/7: high
Cos-7	Grb2	E3b1	0/7: none
Cos-7	E3b1	E3b1	7/7: very high
